DEPARTAMENTO,CARGO,SUELDO BRUTO,MES,AÑO
DIRECCION DE RECURSOS HUMANOS,SERVICIO DE SEG. AEROPORTUARIA,30000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,SERVICIO DE SEGURIDAD AEROPORTUARIA,20000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,SERVICIO DE SEGURIDAD AEROPORTUARIA,20000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,SERVICIO DE SEGURIDAD AEROPORTUARIA,25000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,SERVICIO DE SEGURIDAD AEROPORTUARIA,15000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,SERVICIO DE SEGURIDAD AEROPORTUARIA,20000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,SERVICIO DE SEGURIDAD AEROPORTUARIA,10000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,SERVICIO DE SEGURIDAD AEROPORTUARIA,10000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,SERVICIO DE SEGURIDAD AEROPORTUARIA,10000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,SERVICIO DE SEGURIDAD AEROPORTUARIA,15000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,SERVICIO DE SEGURIDAD AEROPORTUARIA,10000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,SERVICIO DE SEGURIDAD AEROPORTUARIA,5300,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,SERVICIO DE SEGURIDAD AEROPORTUARIA,10000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,SERVICIO DE SEGURIDAD AEROPORTUARIA,10000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,SERVICIO DE SEGURIDAD AEROPORTUARIA,12500,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,SERVICIO DE SEGURIDAD AEROPORTUARIA,12500,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,SERVICIO DE SEGURIDAD AEROPORTUARIA,20000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,SERVICIO DE SEGURIDAD AEROPORTUARIA,10000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,SERVICIO DE SEGURIDAD AEROPORTUARIA,20000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,SERVICIO DE SEGURIDAD AEROPORTUARIA,10000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,SERVICIO DE SEGURIDAD AEROPORTUARIA,15000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,SERVICIO DE SEGURIDAD AEROPORTUARIA,20000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,SERVICIO DE SEGURIDAD AEROPORTUARIA,10000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,SERVICIO DE SEGURIDAD AEROPORTUARIA,10000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,SERVICIO DE SEGURIDAD AEROPORTUARIA,25000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,SERVICIO DE SEGURIDAD AEROPORTUARIA,30000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,SERVICIO DE SEGURIDAD AEROPORTUARIA,30000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,SERVICIO DE SEGURIDAD AEROPORTUARIA,30000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,SERVICIO DE SEGURIDAD AEROPORTUARIA,12500,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,SERVICIO DE SEGURIDAD AEROPORTUARIA,15000,Mayo,2026
DIRECCION DE OPERACIONES,DIRECTOR DE OPERACIONES,90000,Mayo,2026
DIRECCION DE OPERACIONES,"SUB-DIRECTOR DE DETECCION DE EXPLOSIVOS ""K-9""",70000,Mayo,2026
DIRECCION DE OPERACIONES,SUB-DIRECTOR DE OPERACIONES,70000,Mayo,2026
DIRECCION DE OPERACIONES,SUB-DIRECTOR DE PLANES Y PROGRAMAS,70000,Mayo,2026
DIRECCION DE OPERACIONES,SUB-DIRECTOR DEL CENTRO COMANDO Y CONTROL CENTRAL C-4,70000,Mayo,2026
DIRECCION DE OPERACIONES,ENC. DEPTO. ADMINISTRATIVA,35000,Mayo,2026
DIRECCION DE OPERACIONES,ENC. DEPTO. DE DOCUMENTOS DE SEGURIDAD,35000,Mayo,2026
DIRECCION DE OPERACIONES,ENC. DEPTO. DE OPERACIÓNES,35000,Mayo,2026
DIRECCION DE OPERACIONES,ENC. DEPTO. DE VIDEO VIGILANCIA,35000,Mayo,2026
DIRECCION DE OPERACIONES,ENC. DIV. DE ANALISIS DE INF.,25000,Mayo,2026
DIRECCION DE OPERACIONES,ENC. DIV. DE REVISION Y ANALISIS PSA,25000,Mayo,2026
DIRECCION DE OPERACIONES,ENC. DIV. DE SEGUIMIENTO,25000,Mayo,2026
DIRECCION DE OPERACIONES,ENC. DIV. ENTRENAM. PERIODICO,28000,Mayo,2026
DIRECCION DE OPERACIONES,ENC. DIV. ENTRENAMIENTO,25000,Mayo,2026
DIRECCION DE OPERACIONES,ENC. DIV. RECOP. Y PROC. INF.,25000,Mayo,2026
DIRECCION DE OPERACIONES,ENC. DIV. SUPERVISOR DE SERVICIO C-3 C-4,25000,Mayo,2026
DIRECCION DE OPERACIONES,ENC. SECC. DE LECCIONES APRENDIDAD,21500,Mayo,2026
DIRECCION DE OPERACIONES,ENC. SECC. DE VETERINARIA K-9,21500,Mayo,2026
DIRECCION DE OPERACIONES,"ENCARGADO DE SECCION DE ENTRENAMIENTO PERIODICO ""K-9""",21500,Mayo,2026
DIRECCION DE OPERACIONES,UNIDAD AUX. DEPTO. DE VIDEO VIGILANCIA,30000,Mayo,2026
DIRECCION DE OPERACIONES,AUX. SECC. RECOP. Y PROC. INF.,21500,Mayo,2026
DIRECCION DE OPERACIONES,AUX. SECC. RECOP. Y PROC. INF.,21500,Mayo,2026
DIRECCION DE OPERACIONES,AUX. SECC. VETERINARIA,32650,Mayo,2026
DIRECCION DE OPERACIONES,AUXI DIV. DE ENTRENAMIENTO PERIODICO K-9,21500,Mayo,2026
DIRECCION DE OPERACIONES,AUXILIAR DE LA DIV. DE ENTRENAMIENTOS,27650,Mayo,2026
DIRECCION DE OPERACIONES,AUXILIAR SECC. RECOPILACIO Y PROCEDIMIENTO,30000,Mayo,2026
DIRECCION DE OPERACIONES,AUXILIAR SECC. RECOPILACIO Y PROCEDIMIENTO,30000,Mayo,2026
DIRECCION DE OPERACIONES,MANEJADOR K-9 EN LA SECCION DE DETECCION DE EXPLOSIVOS,21500,Mayo,2026
DIRECCION DE OPERACIONES,MANEJADOR K-9 EN LA SECCION DE DETECCION DE EXPLOSIVOS,21500,Mayo,2026
DIRECCION DE OPERACIONES,MANEJADOR K-9 EN LA SECCION DE DETECCION DE EXPLOSIVOS,21500,Mayo,2026
DIRECCION DE OPERACIONES,MANEJADOR K-9 EN LA SECCION DE DETECCION DE EXPLOSIVOS,21500,Mayo,2026
DIRECCION DE OPERACIONES,MANEJADOR K-9 EN LA SECCION DE DETECCIÓN DE EXPLOSIVOS,35000,Mayo,2026
DIRECCION DE OPERACIONES,SUPERVISOR C-4,21500,Mayo,2026
DIRECCION DE OPERACIONES,SUPERVISOR C-4,21000,Mayo,2026
DIRECCION DE OPERACIONES,SUPERVISOR EN EL C-4,21500,Mayo,2026
DIRECCION DE OPERACIONES,SUPERVISOR EN EL C-4,21500,Mayo,2026
DIRECCION DE OPERACIONES,SUPERVISOR EN EL C-3,21500,Mayo,2026
DIRECCION DE OPERACIONES,OPERADOR C-4,21500,Mayo,2026
DIRECCION DE OPERACIONES,OPERADOR C-4,21500,Mayo,2026
DIRECCION DE OPERACIONES,OPERADOR C-4,21500,Mayo,2026
DIRECCION DE OPERACIONES,OPERADOR C-4,14000,Mayo,2026
DIRECCION DE OPERACIONES,OPERADOR C-4,25000,Mayo,2026
DIRECCION DE OPERACIONES,OPERADOR C-4,25000,Mayo,2026
DIRECCION DE OPERACIONES,OPERADOR C-4,30000,Mayo,2026
DIRECCION DE OPERACIONES,OPERADOR DEL C-4,21500,Mayo,2026
DIRECCION DE OPERACIONES,OPERADOR DEL C-4,12000,Mayo,2026
DIRECCION DE OPERACIONES,OPERADOR DEL C-4,25000,Mayo,2026
DIRECCION DE OPERACIONES,OPERADOR DEL C-4,25000,Mayo,2026
DIRECCION DE OPERACIONES,OPERADOR DEL C-4,25000,Mayo,2026
DIRECCION DE OPERACIONES,OPERADOR DEL C-4,30000,Mayo,2026
DIRECCION DE OPERACIONES,OPERADOR DEL C-4,35000,Mayo,2026
DIRECCION DE OPERACIONES,OPERADOR DEL C-4,30000,Mayo,2026
DIRECCION DE OPERACIONES,OPERADOR DEL C-4,30000,Mayo,2026
DIRECCION DE OPERACIONES,OPERADOR DEL C-4,30000,Mayo,2026
DIRECCION DE OPERACIONES,OPERADOR DEL C-4,30000,Mayo,2026
DIRECCION DE OPERACIONES,OPERADOR DEL C-4,19500,Mayo,2026
DIRECCION DE OPERACIONES,OPERADOR DEL C-4,30000,Mayo,2026
DIRECCION DE OPERACIONES,OPERADOR DEL C-4,14500,Mayo,2026
DIRECCION DE OPERACIONES,OPERADORA DEL C-4,25000,Mayo,2026
DIRECCION DE OPERACIONES,OPERADORA DEL C-4,30000,Mayo,2026
DIRECCION DE OPERACIONES,OPERADOR DEL C-3,14000,Mayo,2026
DIRECCION DE OPERACIONES,ANALISTA DE PROCEDIMIENTO AVSEC,20000,Mayo,2026
DIRECCION DE OPERACIONES,ANALISTA DE PROCEDIMIENTOS AVSEC,21500,Mayo,2026
DIRECCION DE OPERACIONES,SOPORTE TECNICO C-4,30000,Mayo,2026
DIRECCION DE OPERACIONES,DIGITADOR,27650,Mayo,2026
DIRECCION DE OPERACIONES,DIGITADOR,30000,Mayo,2026
DIRECCION DE OPERACIONES,DIGITADOR DEL DEPARTAMENTO ADMINISTRATIVO,20000,Mayo,2026
